repetition,batch_index,input_start,input_end,cumulative_input_count,batch_comparable_count,cumulative_comparable_count,algorithm,batch_runtime_ms
4,10,1801,2000,2000,198,1957,NTable_Fresh,11.534664
4,10,1801,2000,2000,198,1957,NTable_SharedReuse,5.766141
4,10,1801,2000,2000,198,1957,Pratt,6.379864
4,11,2001,2200,2200,193,2150,NTable_SharedReuse,5.529515
4,11,2001,2200,2200,193,2150,Pratt,6.074134
4,11,2001,2200,2200,193,2150,NTable_Fresh,10.594309
4,12,2201,2400,2400,195,2345,Pratt,6.554467
4,12,2201,2400,2400,195,2345,NTable_Fresh,11.020431
4,12,2201,2400,2400,195,2345,NTable_SharedReuse,6.565244
4,13,2401,2600,2600,195,2540,NTable_Fresh,9.682937
4,13,2401,2600,2600,195,2540,NTable_SharedReuse,4.941309
4,13,2401,2600,2600,195,2540,Pratt,5.413139
4,14,2601,2800,2800,193,2733,NTable_SharedReuse,4.910893
4,14,2601,2800,2800,193,2733,Pratt,5.337686
4,14,2601,2800,2800,193,2733,NTable_Fresh,10.306546
4,15,2801,3000,3000,197,2930,Pratt,5.714974
4,15,2801,3000,3000,197,2930,NTable_Fresh,9.656377
4,15,2801,3000,3000,197,2930,NTable_SharedReuse,5.035451
5,1,1,200,200,195,195,NTable_SharedReuse,9.166569
5,1,1,200,200,195,195,Pratt,6.798495
5,1,1,200,200,195,195,NTable_Fresh,11.732112
5,2,201,400,400,196,391,Pratt,5.989607
5,2,201,400,400,196,391,NTable_Fresh,11.152259
5,2,201,400,400,196,391,NTable_SharedReuse,6.186923
5,3,401,600,600,197,588,NTable_Fresh,10.520408
5,3,401,600,600,197,588,NTable_SharedReuse,5.558628
5,3,401,600,600,197,588,Pratt,5.862045
5,4,601,800,800,195,783,NTable_SharedReuse,5.955957
5,4,601,800,800,195,783,Pratt,6.24435
5,4,601,800,800,195,783,NTable_Fresh,10.366196
5,5,801,1000,1000,195,978,Pratt,6.841029
5,5,801,1000,1000,195,978,NTable_Fresh,11.685091
5,5,801,1000,1000,195,978,NTable_SharedReuse,6.079042
5,6,1001,1200,1200,193,1171,NTable_Fresh,11.142043
5,6,1001,1200,1200,193,1171,NTable_SharedReuse,5.578428
5,6,1001,1200,1200,193,1171,Pratt,6.33646
5,7,1201,1400,1400,195,1366,NTable_SharedReuse,5.274039
5,7,1201,1400,1400,195,1366,Pratt,5.840824
5,7,1201,1400,1400,195,1366,NTable_Fresh,10.333897
5,8,1401,1600,1600,198,1564,Pratt,6.135577
5,8,1401,1600,1600,198,1564,NTable_Fresh,10.956614
5,8,1401,1600,1600,198,1564,NTable_SharedReuse,5.573511
5,9,1601,1800,1800,195,1759,NTable_Fresh,9.153741
5,9,1601,1800,1800,195,1759,NTable_SharedReuse,4.919456
5,9,1601,1800,1800,195,1759,Pratt,5.414141
5,10,1801,2000,2000,198,1957,NTable_SharedReuse,5.789305
5,10,1801,2000,2000,198,1957,Pratt,6.451052
5,10,1801,2000,2000,198,1957,NTable_Fresh,11.568095
5,11,2001,2200,2200,193,2150,Pratt,6.209838
5,11,2001,2200,2200,193,2150,NTable_Fresh,10.532186
5,11,2001,2200,2200,193,2150,NTable_SharedReuse,5.481282
